employee_id,department_id,from_date,to_date
10001,d005,1986-06-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10002,d007,1996-08-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10003,d004,1995-12-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10004,d004,1986-12-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10005,d003,1989-09-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10006,d005,1990-08-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10007,d008,1989-02-10T00:00:00.000Z,9999-01-01T00:00:00.000Z
10008,d005,1998-03-11T00:00:00.000Z,2000-07-31T00:00:00.000Z
10009,d006,1985-02-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10010,d004,1996-11-24T00:00:00.000Z,2000-06-26T00:00:00.000Z
10010,d006,2000-06-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10011,d009,1990-01-22T00:00:00.000Z,1996-11-09T00:00:00.000Z
10012,d005,1992-12-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10013,d003,1985-10-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10014,d005,1993-12-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10015,d008,1992-09-19T00:00:00.000Z,1993-08-22T00:00:00.000Z
10016,d007,1998-02-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10017,d001,1993-08-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10018,d004,1992-07-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10018,d005,1987-04-03T00:00:00.000Z,1992-07-29T00:00:00.000Z
10019,d008,1999-04-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10020,d004,1997-12-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10021,d005,1988-02-10T00:00:00.000Z,2002-07-15T00:00:00.000Z
10022,d005,1999-09-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10023,d005,1999-09-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10024,d004,1998-06-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10025,d005,1987-08-17T00:00:00.000Z,1997-10-15T00:00:00.000Z
10026,d004,1995-03-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10027,d005,1995-04-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
