employee_id,amount,from_date,to_date
10001,60117,1986-06-26T00:00:00.000Z,1987-06-26T00:00:00.000Z
10001,62102,1987-06-26T00:00:00.000Z,1988-06-25T00:00:00.000Z
10001,66074,1988-06-25T00:00:00.000Z,1989-06-25T00:00:00.000Z
10001,66596,1989-06-25T00:00:00.000Z,1990-06-25T00:00:00.000Z
10001,66961,1990-06-25T00:00:00.000Z,1991-06-25T00:00:00.000Z
10001,71046,1991-06-25T00:00:00.000Z,1992-06-24T00:00:00.000Z
10001,74333,1992-06-24T00:00:00.000Z,1993-06-24T00:00:00.000Z
10001,75286,1993-06-24T00:00:00.000Z,1994-06-24T00:00:00.000Z
10001,75994,1994-06-24T00:00:00.000Z,1995-06-24T00:00:00.000Z
10001,76884,1995-06-24T00:00:00.000Z,1996-06-23T00:00:00.000Z
10001,80013,1996-06-23T00:00:00.000Z,1997-06-23T00:00:00.000Z
10001,81025,1997-06-23T00:00:00.000Z,1998-06-23T00:00:00.000Z
10001,81097,1998-06-23T00:00:00.000Z,1999-06-23T00:00:00.000Z
10001,84917,1999-06-23T00:00:00.000Z,2000-06-22T00:00:00.000Z
10001,85112,2000-06-22T00:00:00.000Z,2001-06-22T00:00:00.000Z
10001,85097,2001-06-22T00:00:00.000Z,2002-06-22T00:00:00.000Z
10001,88958,2002-06-22T00:00:00.000Z,9999-01-01T00:00:00.000Z
10002,65828,1996-08-03T00:00:00.000Z,1997-08-03T00:00:00.000Z
10002,65909,1997-08-03T00:00:00.000Z,1998-08-03T00:00:00.000Z
10002,67534,1998-08-03T00:00:00.000Z,1999-08-03T00:00:00.000Z
10002,69366,1999-08-03T00:00:00.000Z,2000-08-02T00:00:00.000Z
10002,71963,2000-08-02T00:00:00.000Z,2001-08-02T00:00:00.000Z
10002,72527,2001-08-02T00:00:00.000Z,9999-01-01T00:00:00.000Z
10003,40006,1995-12-03T00:00:00.000Z,1996-12-02T00:00:00.000Z
10003,43616,1996-12-02T00:00:00.000Z,1997-12-02T00:00:00.000Z
10003,43466,1997-12-02T00:00:00.000Z,1998-12-02T00:00:00.000Z
