employee_id,title,from_date,to_date
10001,Senior Engineer,1986-06-26T00:00:00.000Z,9999-01-01T00:00:00.000Z
10002,Staff,1996-08-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10003,Senior Engineer,1995-12-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10004,Engineer,1986-12-01T00:00:00.000Z,1995-12-01T00:00:00.000Z
10004,Senior Engineer,1995-12-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10005,Senior Staff,1996-09-12T00:00:00.000Z,9999-01-01T00:00:00.000Z
10005,Staff,1989-09-12T00:00:00.000Z,1996-09-12T00:00:00.000Z
10006,Senior Engineer,1990-08-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10007,Senior Staff,1996-02-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10007,Staff,1989-02-10T00:00:00.000Z,1996-02-11T00:00:00.000Z
10008,Assistant Engineer,1998-03-11T00:00:00.000Z,2000-07-31T00:00:00.000Z
10009,Assistant Engineer,1985-02-18T00:00:00.000Z,1990-02-18T00:00:00.000Z
10009,Engineer,1990-02-18T00:00:00.000Z,1995-02-18T00:00:00.000Z
10009,Senior Engineer,1995-02-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10010,Engineer,1996-11-24T00:00:00.000Z,9999-01-01T00:00:00.000Z
10011,Staff,1990-01-22T00:00:00.000Z,1996-11-09T00:00:00.000Z
10012,Engineer,1992-12-18T00:00:00.000Z,2000-12-18T00:00:00.000Z
10012,Senior Engineer,2000-12-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10013,Senior Staff,1985-10-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10014,Engineer,1993-12-29T00:00:00.000Z,9999-01-01T00:00:00.000Z
10015,Senior Staff,1992-09-19T00:00:00.000Z,1993-08-22T00:00:00.000Z
10016,Staff,1998-02-11T00:00:00.000Z,9999-01-01T00:00:00.000Z
10017,Senior Staff,2000-08-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10017,Staff,1993-08-03T00:00:00.000Z,2000-08-03T00:00:00.000Z
10018,Engineer,1987-04-03T00:00:00.000Z,1995-04-03T00:00:00.000Z
10018,Senior Engineer,1995-04-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10019,Staff,1999-04-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10020,Engineer,1997-12-30T00:00:00.000Z,9999-01-01T00:00:00.000Z
10021,Technique Leader,1988-02-10T00:00:00.000Z,2002-07-15T00:00:00.000Z
10022,Engineer,1999-09-03T00:00:00.000Z,9999-01-01T00:00:00.000Z
10023,Engineer,1999-09-27T00:00:00.000Z,9999-01-01T00:00:00.000Z
10024,Assistant Engineer,1998-06-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
10025,Technique Leader,1987-08-17T00:00:00.000Z,1997-10-15T00:00:00.000Z
10026,Engineer,1995-03-20T00:00:00.000Z,2001-03-19T00:00:00.000Z
10026,Senior Engineer,2001-03-19T00:00:00.000Z,9999-01-01T00:00:00.000Z
10027,Engineer,1995-04-02T00:00:00.000Z,2001-04-01T00:00:00.000Z
10027,Senior Engineer,2001-04-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10028,Engineer,1991-10-22T00:00:00.000Z,1998-04-06T00:00:00.000Z
10029,Engineer,1991-09-18T00:00:00.000Z,2000-09-17T00:00:00.000Z
10029,Senior Engineer,2000-09-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10030,Engineer,1994-02-17T00:00:00.000Z,2001-02-17T00:00:00.000Z
10030,Senior Engineer,2001-02-17T00:00:00.000Z,9999-01-01T00:00:00.000Z
10031,Engineer,1991-09-01T00:00:00.000Z,1998-09-01T00:00:00.000Z
10031,Senior Engineer,1998-09-01T00:00:00.000Z,9999-01-01T00:00:00.000Z
10032,Engineer,1990-06-20T00:00:00.000Z,1995-06-20T00:00:00.000Z
10032,Senior Engineer,1995-06-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10033,Technique Leader,1987-03-18T00:00:00.000Z,1993-03-24T00:00:00.000Z
10034,Staff,1995-04-12T00:00:00.000Z,1999-10-31T00:00:00.000Z
10035,Engineer,1988-09-05T00:00:00.000Z,1996-09-05T00:00:00.000Z
10035,Senior Engineer,1996-09-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10036,Senior Staff,1992-04-28T00:00:00.000Z,9999-01-01T00:00:00.000Z
10037,Engineer,1990-12-05T00:00:00.000Z,1995-12-05T00:00:00.000Z
10037,Senior Engineer,1995-12-05T00:00:00.000Z,9999-01-01T00:00:00.000Z
10038,Senior Staff,1996-09-20T00:00:00.000Z,9999-01-01T00:00:00.000Z
10038,Staff,1989-09-20T00:00:00.000Z,1996-09-20T00:00:00.000Z
10039,Senior Staff,1997-01-18T00:00:00.000Z,9999-01-01T00:00:00.000Z
10039,Staff,1988-01-19T00:00:00.000Z,1997-01-18T00:00:00.000Z
10040,Engineer,1993-02-14T00:00:00.000Z,1999-02-14T00:00:00.000Z
10040,Senior Engineer,1999-02-14T00:00:00.000Z,9999-01-01T00:00:00.000Z
